Year,Biomass,DOM,Total Ecosystem
66,117892.45219116802,186412.3974750471,304304.84966621513
67,118210.78123590715,186647.9167106997,304858.6979466069
68,118528.35635013324,186883.50267307003,305411.85902320326
69,118845.20169271895,187119.2171680152,305964.41886073415
70,119161.34005538518,187355.11364532867,306516.4537007139
71,119379.52582918791,187597.95923662867,306977.48506581655
72,119597.3323528793,187839.32616971596,307436.65852259524
73,119814.76802841322,188079.3884302627,307894.1564586759
74,120031.84092871944,188318.29566666202,308350.1365953814
75,120248.55881670055,188556.1773192472,308804.7361359477
76,120464.92916279817,188793.1459107307,309258.07507352886
77,120680.95916126057,189029.29969169738,309710.2588529579
78,120896.65574522912,189264.72478642222,310161.3805316513
79,121112.02560074949,189499.4969484879,310611.5225492374
80,121327.07517980096,189733.68300919488,311060.7581889958
81,121454.7444090131,189975.525315924,311430.2697249371
82,121582.24703199629,190215.26050781048,311797.5075398068
83,121709.58536695107,190453.0641271372,312162.64949408825
84,121836.76167386127,190689.08843131142,312525.8501051727
85,121963.77815665584,190923.4663139021,312887.24447055795
86,122090.63696526444,191156.31442677113,313246.9513920355
87,122217.34019757433,191387.7356890029,313605.07588657725
88,122343.88990129344,191617.82132156106,313961.7112228545
89,122470.28807572574,191846.65251216755,314316.9405878933
90,122596.53667346385,192074.3017894683,314670.83846293215
91,122663.05234259824,192306.94824009025,314970.0005826885
92,122729.49343340927,192537.3980760864,315266.8915094957
93,122795.8604971741,192765.79428177304,315561.6547789471
94,122862.15407659093,192992.26192410916,315854.4160007001
95,122928.37470596816,193216.91111718843,316145.2858231566
96,122994.52291140758,193439.8393864143,316434.3622978219
97,123060.59921098239,193661.1335718034,316721.7327827858
98,123126.60411490954,193880.87137469722,317007.4754896068
99,123192.53812571724,194099.12262629028,317291.6607520075
100,123258.40173840735,194315.95033728261,317574.35207569
101,123265.67630349356,194548.1438250369,317813.8201285305
102,123272.90456117976,194777.59888041997,318050.5034415997
103,123280.08666496392,195004.4722634717,318284.55892843555
